bat_team,bowl_team,runs,wickets,overs,runs_last_5,wickets_last_5,total
Bangladesh,Pakistan,79,1,9.4,43,0,140
Bangladesh,Pakistan,79,2,9.5,41,1,140
Bangladesh,Pakistan,80,2,9.6,40,1,140
Bangladesh,Pakistan,82,2,10.1,41,1,140
Bangladesh,Pakistan,84,2,10.2,41,1,140
Bangladesh,Pakistan,84,3,10.3,35,2,140
Bangladesh,Pakistan,85,3,10.4,36,2,140
Bangladesh,Pakistan,85,3,10.5,34,2,140
Bangladesh,Pakistan,85,3,10.6,34,2,140
Bangladesh,Pakistan,85,3,11.1,34,2,140
Bangladesh,Pakistan,86,3,11.1,34,2,140
Bangladesh,Pakistan,86,4,11.2,32,3,140
Bangladesh,Pakistan,87,4,11.3,33,3,140
Bangladesh,Pakistan,93,4,11.4,38,3,140
Bangladesh,Pakistan,99,4,11.5,43,3,140
Bangladesh,Pakistan,102,4,11.6,45,3,140
Bangladesh,Pakistan,102,4,12.1,44,3,140
Bangladesh,Pakistan,102,4,12.2,42,3,140
Bangladesh,Pakistan,103,4,12.3,43,3,140
Bangladesh,Pakistan,104,4,12.4,43,3,140
Bangladesh,Pakistan,105,4,12.5,43,3,140
Bangladesh,Pakistan,105,4,12.6,42,3,140
Bangladesh,Pakistan,106,4,13.1,39,3,140
Bangladesh,Pakistan,107,4,13.2,39,3,140
Bangladesh,Pakistan,108,4,13.3,39,3,140
Bangladesh,Pakistan,109,4,13.4,36,3,140
Bangladesh,Pakistan,110,4,13.5,36,3,140
Bangladesh,Pakistan,112,4,13.6,37,3,140
Bangladesh,Pakistan,112,5,14.1,35,4,140
Bangladesh,Pakistan,114,5,14.2,36,4,140
Bangladesh,Pakistan,115,5,14.2,36,4,140
Bangladesh,Pakistan,119,5,14.3,40,3,140
Bangladesh,Pakistan,119,6,14.4,39,4,140
Bangladesh,Pakistan,119,6,14.5,37,4,140
Bangladesh,Pakistan,121,6,14.6,37,4,140
Bangladesh,Pakistan,122,6,15.1,38,3,140
Bangladesh,Pakistan,122,7,15.2,37,4,140
Bangladesh,Pakistan,123,7,15.3,38,4,140
Bangladesh,Pakistan,123,7,15.4,38,4,140
